id,match_id,player_id,old_elo,new_elo,elo_delta,expected_score,actual_score,k_factor,created_at
8281,801,258,937,956,19,0.4103,1.0,32,2026-05-03 22:29:40.826981
8282,801,263,1000,981,-19,0.5897,0.0,32,2026-05-03 22:29:40.826981
8283,804,195,1083,1095,12,0.6186,1.0,32,2026-05-03 22:29:40.826981
8284,804,254,999,987,-12,0.3814,0.0,32,2026-05-03 22:29:40.826981
8285,811,195,1095,1107,12,0.6334,1.0,32,2026-05-03 22:29:40.826981
8286,811,266,1000,988,-12,0.3666,0.0,32,2026-05-03 22:29:40.826981
8287,815,258,956,962,6,0.4827,1.0,32,2026-05-03 22:29:40.826981
8288,815,198,968,962,-6,0.5173,0.0,32,2026-05-03 22:29:40.826981
8289,819,249,1004,1020,16,0.5058,1.0,32,2026-05-03 22:29:40.826981
8290,819,196,1000,984,-16,0.4942,0.0,32,2026-05-03 22:29:40.826981
8291,820,195,1107,1118,11,0.6674,1.0,32,2026-05-03 22:29:40.826981
8292,820,251,986,975,-11,0.3326,0.0,32,2026-05-03 22:29:40.826981
8293,824,196,984,1002,18,0.4470,1.0,32,2026-05-03 22:29:40.826981
8294,824,193,1021,1003,-18,0.5530,0.0,32,2026-05-03 22:29:40.826981
8295,825,249,1020,1035,15,0.5259,1.0,32,2026-05-03 22:29:40.826981
8296,825,196,1002,987,-15,0.4741,0.0,32,2026-05-03 22:29:40.826981
8297,826,188,992,1007,15,0.5273,1.0,32,2026-05-03 22:29:40.826981
8298,826,228,973,958,-15,0.4727,0.0,32,2026-05-03 22:29:40.826981
8299,827,196,987,1009,22,0.3199,1.0,32,2026-05-03 22:29:40.826981
8300,827,195,1118,1096,-22,0.6801,0.0,32,2026-05-03 22:29:40.826981
8301,828,249,1035,1050,15,0.5402,1.0,32,2026-05-03 22:29:40.826981
8302,828,188,1007,992,-15,0.4598,0.0,32,2026-05-03 22:29:40.826981
8303,830,249,1050,1064,14,0.5715,1.0,32,2026-05-03 22:29:40.826981
