id,player1_id,player2_id,winner_player_id,played_at,created_at,comment,player1_race,player2_race,is_ranked,game_type,mission_name,result_type,player1_roster_id,player2_roster_id,league_id
783,188,242,188,2026-04-09 06:56:48.512801,2026-04-09 10:56:49.490086,"[[match_meta:{""player1_score"":12,""player2_score"":5}]]",Терран,Протосс,t,2к,Gather the Resources,win,,,1
784,196,191,196,2026-04-09 08:49:51.363761,2026-04-09 12:49:52.476986,"[[match_meta:{""player1_score"":10,""player2_score"":5}]]",Терран,Терран,f,2к,Divide and Conquer,win,,,1
785,195,226,195,2026-04-09 11:24:56.25105,2026-04-09 15:24:57.287474,"[[match_meta:{""player1_score"":29,""player2_score"":18}]]",Терран,Протосс,t,2к,Frontlines,win,,,1
786,193,249,193,2026-04-09 16:59:10.39579,2026-04-09 20:59:11.513385,"[[match_meta:{""player1_score"":21,""player2_score"":16}]]",Протосс,Зерг,t,2к,Hold Position,win,,,1
787,246,258,246,2026-04-09 21:26:26.80802,2026-04-10 01:26:28.573192,"[[match_meta:{""player1_score"":17,""player2_score"":9}]]",Протосс,Терран,t,2к,Gather the Resources,win,,,1
789,195,258,195,2026-04-10 09:39:25.891229,2026-04-10 13:39:26.72356,"[[match_meta:{""player1_score"":16,""player2_score"":8}]]",Терран,Терран,t,2к,Hold Position,win,,,1
790,195,226,195,2026-04-10 12:08:16.452118,2026-04-10 16:08:17.407166,"[[match_meta:{""player1_score"":26,""player2_score"":15}]]",Терран,Протосс,t,2к,Frontlines,win,,,1
791,246,258,246,2026-04-10 20:30:15.65091,2026-04-11 00:30:17.496136,"[[match_meta:{""player1_score"":10,""player2_score"":3}]]",Протосс,Терран,t,2к,Supply Drop,win,,,1
792,246,211,246,2026-04-10 22:47:44.580876,2026-04-11 02:47:46.316235,"[[match_meta:{""player1_score"":10,""player2_score"":0}]]",Протосс,Терран,t,2к,Hold Position,win,,,1
793,259,256,259,2026-04-10 23:41:46.776172,2026-04-11 03:41:48.393232,"[[match_meta:{""player1_score"":12,""player2_score"":6}]]",Зерг,Зерг,f,2к,Gather the Resources,win,,,1
795,195,261,195,2026-04-11 03:03:45.694967,2026-04-11 07:03:46.587649,"[[match_meta:{""player1_score"":20,""player2_score"":7}]]",Терран,Протосс,t,2к,Hold Position,win,,,1
796,254,251,254,2026-04-11 06:44:32.109234,2026-04-11 10:44:33.018956,"[[match_meta:{""player1_score"":30,""player2_score"":15}]]",Протосс,Терран,f,2к,Hold Position,win,,,1
797,188,242,188,2026-04-11 06:49:35.234756,2026-04-11 10:49:36.182055,"[[match_meta:{""player1_score"":17,""player2_score"":8}]]",Терран,Протосс,t,2к,Hold Position,win,,,1
798,249,198,249,2026-04-11 13:03:42.66922,2026-04-11 17:03:44.180557,"[[match_meta:{""player1_score"":14,""player2_score"":3}]]",Зерг,Протосс,t,2к,Gather the Resources,win,,,1
799,193,258,193,2026-04-11 17:40:42.155431,2026-04-11 21:40:43.674795,"[[match_meta:{""player1_score"":22,""player2_score"":18}]] Tyronin list modified",Протосс,Терран,t,2к,Hold Position,win,,,1
