id,match_id,player_id,old_elo,new_elo,elo_delta,expected_score,actual_score,k_factor,created_at
7635,697,195,1000,1020,20,0.5000,1.0,40,2026-05-01 15:26:02.485218
7636,697,213,1000,980,-20,0.5000,0.0,40,2026-05-01 15:26:02.485218
7637,723,195,1020,1039,19,0.5288,1.0,40,2026-05-01 15:26:02.485218
7638,723,188,1000,985,-15,0.4712,0.0,32,2026-05-01 15:26:02.485218
7639,725,229,1000,1020,20,0.5000,1.0,40,2026-05-01 15:26:02.485218
7640,725,230,1000,980,-20,0.5000,0.0,40,2026-05-01 15:26:02.485218
7641,735,238,1000,1007,7,0.5000,1.0,40,2026-05-01 15:26:02.485218
7642,735,239,1000,993,-7,0.5000,0.0,40,2026-05-01 15:26:02.485218
7643,746,242,1000,1022,22,0.4441,1.0,40,2026-05-01 15:26:02.485218
7644,746,195,1039,1017,-22,0.5559,0.0,40,2026-05-01 15:26:02.485218
7645,752,246,1000,1020,20,0.5000,1.0,40,2026-05-01 15:26:02.485218
7646,752,228,1000,980,-20,0.5000,0.0,40,2026-05-01 15:26:02.485218
7647,755,246,1020,1039,19,0.5288,1.0,40,2026-05-01 15:26:02.485218
7648,755,240,1000,981,-19,0.4712,0.0,40,2026-05-01 15:26:02.485218
7649,756,249,1000,1020,20,0.5000,1.0,40,2026-05-01 15:26:02.485218
7650,756,198,1000,984,-16,0.5000,0.0,32,2026-05-01 15:26:02.485218
7651,757,246,1039,1057,18,0.5559,1.0,40,2026-05-01 15:26:02.485218
7652,757,193,1000,982,-18,0.4441,0.0,40,2026-05-01 15:26:02.485218
7653,760,246,1057,1075,18,0.5530,1.0,40,2026-05-01 15:26:02.485218
7654,760,249,1020,1002,-18,0.4470,0.0,40,2026-05-01 15:26:02.485218
7655,761,195,1017,1036,19,0.5244,1.0,40,2026-05-01 15:26:02.485218
7656,761,251,1000,981,-19,0.4756,0.0,40,2026-05-01 15:26:02.485218
7657,763,252,1000,1020,20,0.4971,1.0,40,2026-05-01 15:26:02.485218
7658,763,249,1002,982,-20,0.5029,0.0,40,2026-05-01 15:26:02.485218
7659,764,246,1075,1090,15,0.6267,1.0,40,2026-05-01 15:26:02.485218
7660,764,188,985,973,-12,0.3733,0.0,32,2026-05-01 15:26:02.485218
7661,765,249,982,1002,20,0.5029,1.0,40,2026-05-01 15:26:02.485218
7662,765,228,980,960,-20,0.4971,0.0,40,2026-05-01 15:26:02.485218
7663,770,193,982,989,7,0.5014,1.0,40,2026-05-01 15:26:02.485218
7664,770,240,981,974,-7,0.4986,0.0,40,2026-05-01 15:26:02.485218
7665,773,246,1090,1102,12,0.6240,1.0,32,2026-05-01 15:26:02.485218
7666,773,249,1002,987,-15,0.3760,0.0,40,2026-05-01 15:26:02.485218
7667,775,228,960,977,17,0.4813,1.0,32,2026-05-01 15:26:02.485218
7668,775,188,973,956,-17,0.5187,0.0,32,2026-05-01 15:26:02.485218
7669,779,252,1020,1039,19,0.5288,1.0,40,2026-05-01 15:26:02.485218
7670,779,257,1000,981,-19,0.4712,0.0,40,2026-05-01 15:26:02.485218
7671,780,246,1102,1112,10,0.6725,1.0,32,2026-05-01 15:26:02.485218
7672,780,228,977,967,-10,0.3275,0.0,32,2026-05-01 15:26:02.485218
7673,781,249,987,1004,17,0.4813,1.0,32,2026-05-01 15:26:02.485218
7674,781,258,1000,979,-21,0.5187,0.0,40,2026-05-01 15:26:02.485218
7675,782,251,981,982,1,0.4727,0.5,40,2026-05-01 15:26:02.485218
7676,782,254,1000,999,-1,0.5273,0.5,40,2026-05-01 15:26:02.485218
7677,783,188,956,975,19,0.4061,1.0,32,2026-05-01 15:26:02.485218
7678,783,242,1022,998,-24,0.5939,0.0,40,2026-05-01 15:26:02.485218
7679,785,195,1036,1050,14,0.5516,1.0,32,2026-05-01 15:26:02.485218
7680,785,226,1000,982,-18,0.4484,0.0,40,2026-05-01 15:26:02.485218
7681,786,193,989,1006,17,0.4784,1.0,32,2026-05-01 15:26:02.485218
7682,786,249,1004,987,-17,0.5216,0.0,32,2026-05-01 15:26:02.485218
7683,787,246,1112,1122,10,0.6826,1.0,32,2026-05-01 15:26:02.485218
7684,787,258,979,966,-13,0.3174,0.0,40,2026-05-01 15:26:02.485218
7685,789,195,1050,1062,12,0.6186,1.0,32,2026-05-01 15:26:02.485218
7686,789,258,966,951,-15,0.3814,0.0,40,2026-05-01 15:26:02.485218
7687,790,195,1062,1074,12,0.6131,1.0,32,2026-05-01 15:26:02.485218
7688,790,226,982,967,-15,0.3869,0.0,40,2026-05-01 15:26:02.485218
7689,791,246,1122,1131,9,0.7280,1.0,32,2026-05-01 15:26:02.485218
7690,791,258,951,940,-11,0.2720,0.0,40,2026-05-01 15:26:02.485218
7691,792,246,1131,1141,10,0.6801,1.0,32,2026-05-01 15:26:02.485218
7692,792,211,1000,987,-13,0.3199,0.0,40,2026-05-01 15:26:02.485218
7693,795,195,1074,1087,13,0.6049,1.0,32,2026-05-01 15:26:02.485218
7694,795,261,1000,984,-16,0.3951,0.0,40,2026-05-01 15:26:02.485218
7695,797,188,975,992,17,0.4669,1.0,32,2026-05-01 15:26:02.485218
7696,797,242,998,977,-21,0.5331,0.0,40,2026-05-01 15:26:02.485218
7697,798,249,987,1003,16,0.5043,1.0,32,2026-05-01 15:26:02.485218
7698,798,198,984,968,-16,0.4957,0.0,32,2026-05-01 15:26:02.485218
7699,799,193,1006,1019,13,0.5939,1.0,32,2026-05-01 15:26:02.485218
7700,799,258,940,924,-16,0.4061,0.0,40,2026-05-01 15:26:02.485218
7701,801,258,924,943,19,0.3923,1.0,32,2026-05-01 15:26:02.485218
7702,801,263,1000,976,-24,0.6077,0.0,40,2026-05-01 15:26:02.485218
7703,804,195,1087,1099,12,0.6240,1.0,32,2026-05-01 15:26:02.485218
7704,804,254,999,984,-15,0.3760,0.0,40,2026-05-01 15:26:02.485218
7705,811,195,1099,1111,12,0.6387,1.0,32,2026-05-01 15:26:02.485218
7706,811,266,1000,986,-14,0.3613,0.0,40,2026-05-01 15:26:02.485218
7707,815,258,943,949,6,0.4641,1.0,32,2026-05-01 15:26:02.485218
7708,815,198,968,962,-6,0.5359,0.0,32,2026-05-01 15:26:02.485218
7709,819,249,1003,1019,16,0.5043,1.0,32,2026-05-01 15:26:02.485218
7710,819,196,1000,984,-16,0.4957,0.0,32,2026-05-01 15:26:02.485218
7711,820,195,1111,1121,10,0.6776,1.0,32,2026-05-01 15:26:02.485218
7712,820,251,982,969,-13,0.3224,0.0,40,2026-05-01 15:26:02.485218
7713,824,196,984,1003,19,0.4498,1.0,32,2026-05-01 15:26:02.485218
7714,824,193,1019,1001,-18,0.5502,0.0,32,2026-05-01 15:26:02.485218
7715,825,249,1019,1034,15,0.5230,1.0,32,2026-05-01 15:26:02.485218
7716,825,196,1003,988,-15,0.4770,0.0,32,2026-05-01 15:26:02.485218
7717,826,188,992,1008,16,0.5359,1.0,32,2026-05-01 15:26:02.485218
7718,826,228,967,952,-15,0.4641,0.0,32,2026-05-01 15:26:02.485218
7719,827,196,988,1012,24,0.3174,1.0,32,2026-05-01 15:26:02.485218
